问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
874 、对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须：,A,A、设置危险废物识别标志,B、设置识别标志,C、设置生活垃圾识别标志,D、不用设置任何标志
875 、实验动物的生物安全性，指的是涉及动物的,D,A、化学实验,B、同位素实验,C、药物实验,D、病原微生物实验
876 、能相互反应产生有毒气体的废液，应：,C,A、随垃圾丢弃,B、向下水口倾倒,C、不得倒入同一收集桶中
877 、感染动物实验完成后，动物尸体及废弃物转移出特殊实验室前，应采取（ ）处理,B,A、药水浸泡,B、高压灭菌,C、深埋,D、焚烧
878 、实验室冰箱和超低温冰箱使用注意事项错误的是：,D,A、定期除霜、清理，清理后要对内表面进行消毒,B、储存的所有容器，应当标明物品名称、储存日期和储存者姓名,C、除非有防爆措施，否则冰箱内不能放置易燃易爆化学品溶液，冰箱门上应注明这一点,D、可以在冰箱内冷冻食品和水
879 、静电电压最高可达(?)，放电时易产生静电火花，引起火灾,B,A、50伏,B、上万伏,C、220伏,D、380伏
880 、不是实验室常用于皮肤或普通实验器械的消毒液为,A,A、0.2%-1% 漂白粉溶液,B、70%乙醇,C、2%碘酊,D、0.2%-0.5%的洗必泰
881 、热线风速仪探头的工作温度是（ ）。,D,A、150℃,B、200℃,C、215℃,D、250℃
882 、对于全部参数可调的科研用激光器，为保证安全运行，必须严格按照激光器注入能量限制匹配原则对激光加工参数进行设定，应由( )操作，( )负责管理。,C,A、本科生…教师,B、研究生…教师,C、专人…专人
"883 、发现燃气泄漏,正确做法是？",C,A、触动电器开关或拨打电话。,B、触动电器开关或拨打电话。,"C、迅速关阀门,打开门窗。"
884 、大型设备运行需要两名以上工作人员在场才能进行,A,A、是,B、否
885 、回流和加热时，液体量不能超过烧瓶容量的,B,A、1∕2,B、2∕3,C、3∕4,D、4∕5
886 、金属钾、钠、锂、钙、电石等固体化学试剂，遇水即可发生激烈反应，并放出大量热，也可产生爆炸，它们应如何存放：,B,A、直接放在试剂瓶中保存,B、浸没在煤油中保存（容器不得渗漏），附近不得有盐酸、硝酸等散发酸雾的物质存在,C、用纸密封包裹存放,D、放在铁盒子里
887 、实验室钥匙不得私自配置或给他人使用。钥匙的配发、管理由谁负责,A,A、实验室主任,B、指导教师,C、学生
888 、下列哪种物质与乙醇混溶时易发生爆炸,C,A、盐酸,B、乙醚,C、高氯酸,D、丙酮
889 、化学药品库中的一般药品应如何分类,B,A、按生产日期分类,B、按有机、无机两大类，有机试剂再细分类存放,C、随意摆放,D、按购置日期分类
890 、取用化学药品时，以下哪些事项操作是正确的,D,A、取用腐蚀和刺激性药品时，尽可能带上橡皮手套和防护眼镜,B、倾倒时，切勿直对容器口俯视；吸取时，应该使用橡皮球,C、开启有毒气体容器时应带防毒用具,D、以上都是
891 、电线插座损坏时，既不美观也不方便工作，并造成（ ）。,D,A、吸潮漏电,B、空气开关跳闸,C、触电伤害,D、以上都是
892 、离心操作时，为防液体溢出，离心管中样品装量不能超过离心管体积的多少？,A,A、2/3,B、1/3,C、1/2,D、3/4
893 、每次进行体育锻炼的时间一般以30分钟至多少小时为宜,A,A、1小时,B、2小时,C、3小时,D、4小时
894 、以下哪个药品（试剂）在使用时不用注意干燥防潮,D,A、锂,B、碳化钙,C、磷化钙,D、二氧化硅
895 、进行较剧烈的体育锻炼如球类比赛、快速跑、健美操等，运动后应多补充一些碱性食物，如,A,A、蔬菜、水果,B、动物蛋白,C、维生素,D、糖
896 、对γ（χ、β）源、中子源的防护主要是,B,A、内照射防护,B、外照射防护,C、不用防护
897 、以下哪项不是呼吸、心跳停止的表现?,D,A、意识忽然丧失。,B、颈动脉搏动不能触及。,C、面色苍白转而紫绀。,D、瞳孔缩小。
898 、开启含感染性材料安瓿瓶，最好,A,A、用烧红的玻璃棒接触安瓿瓶的上端使之破碎,B、用硬物敲打安瓿瓶的上端使之破碎
899 、在使用化学药品前应做好的准备有,D,A、明确药品在实验中的作用,B、掌握药品的物理性质（如：熔点、沸点、密度等）和化学性质,C、了解药品的毒性；了解药品对人体的侵入途径和危险特性；了解中毒后的急救措施,D、以上都是
900 、氯气急性中毒可引起（　）；出现严重并发症，如气胸、纵隔气肿等。①慢性支气管炎；②中、重度昏迷；③支气管哮喘；④猝死；⑤严重窒息。,C,A、①②③④⑤,B、①③④⑤,C、②③⑤,D、②④⑤
901 、采取适当的措施，使燃烧因缺乏或隔绝氧气而熄灭，这种方法称作（ ）。,A,A、窒息灭火法,B、隔离灭火法,C、冷却灭火法
902 、工作地点相对湿度大于75%时，则此工作环境属于（　）易触电的环境。,A,A、危险,B、特别危险,C、一般
903 、处理使用后的废液时，下列哪个说法是错误的,D,A、不明的废液不可混合收集存放,B、废液不可任意处理,C、禁止将水以外的任何物质倒入下水道，以免造成环境污染和处理人员危险,D、少量废液用水稀释后，可直接倒入下水道
904 、实验室生物安全等级分四级，（ ）生物安全防护要求最高,D,A、一级（BSL-1）,B、二级（BSL-2）,C、三级（BSL-3）,D、四级（BSL-4）
905 、对于实验室的微波炉，下列哪种说法是错误的,C,A、微波炉开启后，会产生很强的电磁辐射，操作人员应远离,B、严禁将易燃易爆等危险化学品放入微波炉中加热,C、实验室的微波炉也可加热食品,D、对密闭压力容器使用微波炉加热时应注意严格按照安全规范操作
906 、药品中毒的途径有哪些？,D,A、呼吸器官吸入。,B、由皮肤渗入,C、吞入。,D、以上都是。
907 、不是实验室常用于皮肤或普通实验器械的消毒液为,A,A、0.2%-1% 漂白粉溶液,B、70%乙醇,C、2%碘酊,D、0.2%-0.5%的洗必泰
908 、实验室人员发生触电时，下例哪种行为是不正确的？,B,A、应迅速切断电源，将触电者上衣解开，取出口中异物，然后进行人工呼吸。,B、应迅速注射兴奋剂。,C、当患者伤势严重时，应立即送医院强救。
909 、以下有关实验室用电的注意事项中，不正确的是？,C,A、实验前先检查用电设备，再接通电源；实验结束后，先关仪器设备，再关闭电源。,B、工作人员离开实验室或遇突然断电，应关闭电源，尤其要关闭加热电器的电源开关。,C、电源或电器设备的保险丝烧断后，可以用其它金属导线代替。,D、电源开关附近不得存放易燃易爆物品或堆放杂物。
910 、下列物质应避免与水接触以免发生危险的是,C,A、氯化钠,B、氯化钙,C、四氢化铝,D、硫酸钙
911 、吊车司机必须与指挥人员密切配合，服从指挥人员的信号指挥，如发现指挥信号不清或错误时，司机有权拒绝执行。吊车司机，操作前应先（　）提醒他人,B,A、打手势,B、鸣喇叭,C、大声通知,D、开信号灯
912 、搬运剧毒化学品后，应该,A,A、用流动的水洗手,B、吃东西补充体力,C、休息
913 、下列实验室操作及安全的叙述，正确的是,B,A、实验后所取用剩余的药品应小心倒回原容器，以免浪费,B、当强碱溶液溅出时，可先用大量的水稀释后再处理,C、温度计破碎流出的汞，宜洒上盐酸使反应为氯化汞后再弃之
914 、一台配置液晶显示器的台式计算机总耗电量为（ ）。,C,A、小于100W,B、150W左右,C、200W以上
915 、车间内的明、暗插座距地面的高度一般不低于（ ）米。,A,A、0.3米,B、0.2米,C、0.1米
916 、电动工具的电源引线，其中黄绿双色线应作为（ ）线使用。,C,A、相,B、工作零,C、保护接地
917 、低压电笔一般适用于多少(?)V以下的交流电压,C,A、220,B、380,C、500,D、36
918 、运动中腹痛多数在中长跑时产生，主要是因为准备活动不充分，开始运动过于剧烈，或者跑的过快，内脏器官尚没有达到竞赛状态，致使什么功能失调，引起腹痛,A,A、脏腑,B、呼吸,C、血液循环,D、精神紧张
919 、移液时，当有生物污染性物质溅出，为防止扩散应:,A,A、立即用浸过消毒剂的布或纸处理，然后将被污染的物品进行高压消毒,B、立即用布或纸处理,C、立即采用高压消毒,D、立即用浸过消毒剂的布或纸处理
920 、实验室安全管理实行（ ）。,A,A、校、（院）系、实验室三级管理,B、校、（院）系两级管理,C、院（系）、实验室两级管理,D、实验事自行管理
921 、取用化学药品时，以下哪些事项操作是正确的,D,A、取用腐蚀和刺激性药品时，尽可能带上橡皮手套和防护眼镜,B、倾倒时，切勿直对容器口俯视；吸取时，应该使用橡皮球,C、开启有毒气体容器时应带防毒用具,D、以上都是
922 、（）不是影响混合物爆炸极限的因素。,B,A、混合物的温度、压力,B、混合物的多少,C、混合物的含氧量,D、容器的大小
923 、实验室内（ ）。,C,A、使用闸刀开关、木质配电板和花线,B、自己随意接、拉电线,C、固定电源插座未经允许不得拆装、改线
924 、一般电热水壶的耗电为（ ）。,C,A、200W左右,B、500W左右,C、800W以上
925 、回流和加热时，液体量不能超过烧瓶容量的,B,A、1∕2,B、2∕3,C、3∕4,D、4∕5
926 、对于一些吸入或食入少量即能中毒至死的化学试剂，生物试验中致死量（LD50）在50mg/kg以下的称为剧毒化学试剂，以下哪个不是剧毒化学试剂,D,A、氰化钾,B、三氧化二砷,C、氯化汞,D、苯
927 、具有（）性质的化学品属于化学危险品。,D,A、爆炸,B、易燃、腐蚀、放射性,C、毒害,D、以上都是
928 、加热、回流易燃液体，为防止暴沸、喷溅，蒸馏中途,B,A、应添加适量沸石,B、不能添加沸石
929 、氯气急性中毒可引起（）；出现严重并发症，如气胸、纵隔气肿等。①慢性支气管炎；②中、重度昏迷；③支气管哮喘；④猝死；⑤严重窒息。,C,A、①②③④⑤,B、①③④⑤,C、②③⑤,D、②④⑤
930 、实验室生物安全防护的内容包括（ ）。,D,A、安全设备、个体防护装置和措施,B、严格的管理制度和标准化的操作程序和规程,C、实验室的特殊设计和建设要求,D、以上都是
931 、高致病性禽流感病毒、艾滋病毒（Ⅰ型和Ⅱ型）按其危害程度，属于哪一类病原微生物？,B,A、第一类,B、第二类,C、第三类,D、第四类
932 、国家标准(GB2893-82)中规定的四种安全色是（ ）。,A,A、红、蓝、黄、绿,B、红、蓝、黑、绿,C、红、青、黄、绿,D、白、蓝、黄、绿
933 、施工现场照明设施的接电应采取的防触电措施为（　）。,B,A、湿手操作,B、切断电源,C、站在铁凳子上
934 、扑救易燃液体火灾时，应用那种方法,A,A、用灭火器,B、用水泼,C、扑打,D、以上都可以
935 、表示危险化学品的急性毒性的LD50的单位是什么,A,A、mg/kg,B、g/kg,C、mL/kg,D、ug/kg
936 、在打磨机上操作时，应（ ）增加或减少压力,C,A、快速,B、随便,C、逐步,D、稳步
937 、电源电压高于电容耐压时，会引起:,C,A、电容短路,B、电容发热,C、电容爆裂而伤害到人,D、电容不会爆裂
938 、实验中如遇刺激性及神经性中毒，先服牛奶或鸡蛋白使之缓和，再服用(),B,A、氢氧化铝膏，鸡蛋白,B、硫酸铜溶液（30g溶于一杯水中）催吐,C、乙酸果汁，鸡蛋白
939 、天然放射性的来源是:,D,A、核武器生产和试验,B、核能源生产,C、核技术应用,D、陆生放射性核素、宇生放射性核素
940 、HCN无色，气味为,C,A、无味,B、大蒜味,C、苦杏仁味,D、烂苹果味
941 、涉及有毒试剂的操作时，应采取的保护措施包括,D,A、佩戴适当的个人防护器具,B、了解试剂毒性，在通风橱中操作,C、做好应急救援预案,D、以上都是
942 、若某种废液倒入回收桶会发生危险，则应：,C,A、直接向下水口倾倒,B、直接向下水口倾倒,C、单独暂存于容器中，并贴上标签
943 、处置实验过程产生的剧毒药品废液，说法错误的是,D,A、妥善保管,B、不得随意丢弃、掩埋,C、集中保存，统一处理,D、稀释后用大量水冲净
944 、在室外灭火时，应站在（ ）。,A,A、上风,B、下风
945 、在微生物实验中，一些不要的菌种等可：,C,A、直接向下水管道倾倒,B、不需要经消毒和高压灭菌处理后，直接弃掉,C、经消毒和高压灭菌处理后，再弃掉
946 、使用易燃易爆的化学药品，不正确的操作是,A,A、可以用明火加热,B、在通风橱中进行操作,C、不可猛烈撞击,D、加热时使用水浴或油浴
947 、操作铣床时必须戴好（　）,B,A、安全帽,B、防护镜,C、手套,D、围裙
948 、在铣床上装卸工件时，工作台位置应保证( ),C,A、刀具在工件左方,B、刀具在工件右方,C、刀具尽量远离工件,D、在对刀位置
949 、进行危险性实验时，应（ ）。,B,A、单人操作,B、必须要有两人以上,C、必须要有三人
950 、在进行电子底板贴焊、剪脚等工序时应（ ）。,A,A、戴上防护眼镜,B、戴上护耳器,C、戴上安全帽
951 、易燃、易爆物品和杂物等应该堆放在,C,A、烘箱、箱式电阻炉等附近,B、冰箱、冰柜等附近,C、单独通风的实验室内
952 、配电盘（箱）、开关、变压器等各种电气设备附近不得（ ）。,C,A、设放灭火器,B、设置围栏,C、堆放易燃、易爆、潮湿和其他影响操作的物件
953 、漏电保护器对下例哪种情况不起作用？,C,A、单手碰到带电体,B、人体碰到带电设备,C、双手碰到两相电线（此时人体作为负载，已触电）。,D、人体碰到漏电机壳。
954 、当在宿舍发现自己的笔记本电脑被盗后，你该（ ）。,C,A、叫来宿舍全体室友开会讨论对策,B、怀疑是xx同学所为，趁他不在，私自翻他柜子查看,C、立即报警，并保护好现场
955 、学校对危险化学废物的处理实行（ ）的工作原则,B,A、自行处理,B、分类收集、定点存放、专人管理、集中处理
956 、摩擦是产生静电的一种主要原因，尤其在干燥的环境中，人体的活动和物体的移动都会产生很强的静电。静电在突然释放的时会对人体或设备造成损伤，以下哪种是防止静电事故的主要办法。,A,A、人体接触对静电敏感设备时提前释放自己身体中积累的电荷，例如带静电防护手环、使用静电防护毯,B、用电设备都良好接地,C、保证电路良好的绝缘,D、在易产生静电的场所梳理头发
957 、交流电路断电后，内部的电容可能会：,D,A、电死人,B、用仪表测量电容值时，会损坏仪表,C、有高电压,D、以上都是
958 、铣削不规则工件时，不规则工件的( )应尽量放在夹具中间部位,D,A、窄端,B、宽端,C、中心,D、重心
959 、处理使用后的废液时，下列哪个说法是错误的,D,A、不明的废液不可混合收集存放,B、废液不可任意处理,C、禁止将水以外的任何物质倒入下水道，以免造成环境污染和处理人员危险,D、少量废液用水稀释后，可直接倒入下水道
960 、在需要带电操作的低电压电路实验时，下列哪种说法是正确的,B,A、双手操作比单手操作安全,B、单手操作比双手操作安全,C、单手操作和双手操作一样安全,D、操作与空气湿度有关
961 、师生进入实验室工作，一定要搞清楚（）等位置，有异常情况，要关闭相应的总开关。,B,A、日光灯开关、水槽、通风橱,B、电源总开关、水源总开关,C、通风设备开关、多媒体开关、计算机开关
962 、采用花盘或花盘-弯板安装工件时，必要时还要配装（ ）,D,A、中心架,B、跟刀架,C、顶尖,D、平衡铁
963 、金属Hg常温下,B,A、不挥发,B、慢慢挥发,C、很快挥发
964 、使用办公自动化设备时，应当遵守下列规定（ ）。,D,A、不得在没有保密措施的传真机、计算机上传输或者处理涉及国家秘密的信息,B、使用计算机信息网络国际联网传输信息不得涉及国家秘密,C、未经原确定密级的国家机关、单位批准，不得复制国家秘密的信息；不得使用手机、无线话筒传达涉及国家秘密的信息,D、以上都是
965 、实验大楼因出现火情发生浓烟已穿入实验室内时，以下哪种行为是正确的？（ ）,A,A、沿地面匍匐前进，当逃到门口时，不要站立开门。,B、打开实验室门后不用随手关门。
966 、使用移液管时下列哪种操作是正确的？,D,A、可以用移液管反复吸入和抽出传染性物质,B、一根移液管未经清洗，可吸取多种溶液,C、可以将任何传染性物质的液体吹入空气,D、无洗耳球时，不可用口吹吸移液管
967 、湿热灭菌最高温度和时间通常为,C,A、100℃，15min,B、131℃，15min,C、121℃，15min
968 、在遇到高压电线断落地面时，导线断落点（）米内，禁止人员进入。,B,A、10,B、20,C、30,D、50
969 、学校对危险化学废物的处理的工作原则是：,B,A、自行处理,B、分类收集、定点存放、专人管理、集中处理,C、当作生活垃圾处理,D、以上都不对
970 、在供电中，万一发生电击（触电）事故为了保证不至于对人体产生致命危险，引入了安全电压这一概念。工业中使用的安全电压是（　）。,B,A、25V,B、36V,C、50V
971 、师生进入生化类实验室工作，一定要搞清楚（）等位置，出现情况能做好相应的自救工作。,C,A、门窗的位置,B、易燃、易爆物品大位置,C、冲眼器、紧急喷淋、急救药箱的位置
972 、实验开始前应该做好哪些准备,D,A、必须认真预习，理清实验思路,B、应仔细检查仪器是否有破损，掌握正确使用仪器的要点，弄清水、电、气的管线开关和标记，保持清醒头脑，避免违规操作,C、了解实验中使用的药品的性能和有可能引起的危害及相应的注意事项,D、以上都是
"973 、发现燃气泄漏,正确做法是？",C,A、触动电器开关或拨打电话。,B、触动电器开关或拨打电话。,"C、迅速关阀门,打开门窗。"
974 、正常屏障系统动物实验室内的气压，相对室外是什么压力？,A,A、正压,B、负压,C、等压,D、随意
975 、实验室各种管理规章制度应该：,A,A、上墙或便于取阅的地方,B、存放在档案柜中,C、由相关人员集中保管,D、保存在计算机内
976 、车床的极限位置检查的方法是（　）,C,A、主轴低速，自动切至加工面的极限位置,B、主轴低速，手动切至加工面的极限位置,C、车刀对准加工面的极限位置，变速手柄放在空挡位置，用手扳动卡盘旋转一圈
977 、当发现眼睛可能进了粉屑，应采取措施,B,A、坚持实习，下班后上医院,B、先告诉指导教师，尽快上医院检查,C、坚持实习，不是特别难受就不上医院,D、立刻上医院进行检查
978 、把玻璃管或温度计插入橡皮塞或软木塞时，常常会折断而使人受伤。下列不正确的操作方法是,D,A、可在玻璃管上沾些水或涂上碱液、甘油等作润滑剂,B、橡皮塞等钻孔时，打出的孔比管径略小，可用圆锉把孔锉一下，适当扩大孔径,C、一手拿着塞子，一手拿着玻璃管，边旋转边慢慢地把玻璃管插入塞子中,D、操作时双手距离较远
979 、车间内的明、暗插座距地面的高度一般不低于（ ）米。,A,A、0.3米,B、0.2米,C、0.1米
980 、取用试剂时，错误的说法是,D,A、不能用手接触试剂，以免危害健康和沾污试剂,B、瓶塞应倒置桌面上，以免弄脏，取用试剂后，立即盖严，将试剂瓶放回原处，标签朝外,C、要用干净的药匙取固体试剂，用过的药匙要洗净擦干才能再用,D、多取的试剂可倒回原瓶，避免浪费
981 、下面哪组溶剂不属易燃类液体,B,A、甲醇、乙醇,B、四氯化碳、乙酸,C、乙酸丁酯、石油醚,D、丙酮、甲苯
982 、低压验电笔一般适用于交、直流电压为（）V以下。,C,A、220,B、380,C、500
983 、做加热易燃液体实验时（ ）,C,A、可用电炉加热，要有人看管。,B、用电热套加热可不用人看管。,C、用水浴加热要有人看管。
984 、当在宿舍发现自己的笔记本电脑被盗后，你该（ ）。,C,A、叫来宿舍全体室友开会讨论对策,B、怀疑是xx同学所为，趁他不在，私自翻他柜子查看,C、立即报警，并保护好现场
985 、对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须：,A,A、设置危险废物识别标志,B、设置识别标志,C、设置生活垃圾识别标志,D、不用设置任何标志
986 、一台配置液晶显示器的台式计算机总耗电量为（ ）。,C,A、小于100W,B、150W左右,C、200W以上
987 、锻造过程中，对站立位置有何要求,A,A、不要站立在容易飞出锻件毛边的地方,B、不要站在锻造设备附近,C、对站立位置没有限制要求
988 、金属钾、钠、锂、钙、电石等固体化学试剂，遇水即可发生激烈反应，并放出大量热，也可产生爆炸，它们应如何存放：,B,A、直接放在试剂瓶中保存,B、浸没在煤油中保存（容器不得渗漏），附近不得有盐酸、硝酸等散发酸雾的物质存在,C、用纸密封包裹存放,D、放在铁盒子里
989 、化学强腐蚀烫、烧伤事故发生后，应（），保持创伤面洁净以待医务人员治疗，或用适合于消除这类化学药品的特种溶剂、溶液仔细洗涤烫、烧伤面。,B,A、迅速用大量清水冲洗干净皮肤,B、迅速解脱伤者被污染衣服，及时用大量清水冲洗干净皮肤,C、迅速解脱伤者被污染衣服
990 、下列说法错误的是,D,A、丙酮、乙醇都有较强的挥发性和易燃性，二者都不能在任何有明火的地方使用,B、丙酮会对肝脏和大脑造成损害，因此避免吸入丙酮气体,C、强酸强碱等不能与身体接触,D、弱酸弱碱在使用中可以与身体接触
991 、在车床操作中，要牢固安装刀具，刀头伸出部分的长度约为刀体高度的,B,A、1倍,B、1.5倍,C、2倍,D、3倍
992 、在进行电子底板贴焊、剪脚等工序时应（ ）。,A,A、戴上防护眼镜,B、戴上护耳器,C、戴上安全帽
993 、雷电由于瞬间的强大电流释放巨大能量，不仅会伤及人员，还会损坏设备，甚至引起火灾。请在下列选项中选择室内防止雷电灾害的最主要的一项措施。,A,A、在较高建筑的顶端及露天的配电设施要装避雷装置,B、雷雨时不使用计算机上网，而且尽可能关闭机器，拔掉电 源线和网线,C、雷雨发生时不使用手机,D、不使用电烙铁
994 、进行危险性实验时，应（ ）。,B,A、单人操作,B、必须要有两人以上,C、必须要有三人
995 、有机物或能与水发生剧烈化学反应的药品着火，应用（），以免扑救不当造成更大损害。,C,A、其他有机物灭火,B、自来水灭火,C、灭火器或沙子扑灭
996 、不慎发生意外，下列哪个操作是正确的？,D,A、如果不慎将化学品弄洒或污染，立即自行回收或者清理现场。,B、任何时候见到他人洒落的液体不要首先认为是水，应置之不理。,C、pH值中性即意味着液体是水，自行清理即可。,D、不慎将化学试剂弄到衣物和身体上，立即用大量清水冲洗10－15分。
997 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
998 、CO是什么味？,C,A、酸味,B、烂苹果味,C、无味,D、臭鸡蛋味
999 、从火灾现场撤离时，应采取（ ）。,B,A、乘坐电梯,B、用湿毛巾捂住口鼻低姿从安全通道撤离
1000 、用过的废洗液应（ ）。,B,A、可直接倒入下水道,B、作为废液交相关部门统一处理,C、可以用来洗厕所
1001 、在铣床装卸工件时，工作台位置应保证( ),D,A、刀具在工件左方,B、刀具在工件右方,C、在对刀位置,D、刀具尽量远离工件
1002 、进行照明设施的接电操作，应采取的防触电措施为（ ）。,B,A、湿手操作,B、切断电源,C、站在金属登子或梯子上,D、戴上手套
1003 、实验室生物安全防护的内容包括（ ）。,D,A、安全设备、个体防护装置和措施,B、严格的管理制度和标准化的操作程序和规程,C、实验室的特殊设计和建设要求,D、以上都是
1004 、烟头的中心温度大概是（）度。,C,A、200—300oC,B、400—500oC,C、700—800oC,D、900—1000oC
1005 、生物材料在匀浆或搅拌后，容器应在（　）开启,B,A、实验台上,B、生物安全柜内,C、无菌室内
1006 、加热和蒸馏有易燃试剂的实验时，不能用（ ）。,B,A、水浴锅,B、明火,C、通风橱
1007 、在铣床上装卸工件时，工作台位置应保证( ),C,A、刀具在工件左方,B、刀具在工件右方,C、刀具尽量远离工件,D、在对刀位置
1008 、被电击的人能否获救，关键在于（ ）。,D,A、触电的方式,B、人体电阻的大小,C、触电电压的高低,D、能否尽快脱离电源和施行紧急救护
1009 、使用电烙铁应注意：,D,A、不能乱甩焊锡,B、及时放回烙铁架，用完及时切断电源,C、周围不得放置易燃物品,D、以上都是
1010 、实验室内的汞蒸气会造成人员慢性中毒，为了减少汞液面的蒸发，可在汞液面上覆盖什么液体，效果最好,B,A、水液体,B、甘油,C、5%硫酸钠
"1011 、实验室水泵关闭前,阀门应该",B,A、全开,B、全关,C、半开,D、无所谓
1012 、金属梯子不适于（　）。,A,A、有触电机会的工作场所,B、坑穴或密闭场所,C、高空作业
1013 、请从下列选项中选择万一发生电气火灾后首先应该采取的第一条措施。,B,A、打电话报警。,B、切断电源。,C、扑灭明火。,D、保护现场，分析火因，以便采取措施，杜绝隐患。
1014 、以下有关实验室用电的注意事项中，不正确的是？,C,A、实验前先检查用电设备，再接通电源；实验结束后，先关仪器设备，再关闭电源。,B、工作人员离开实验室或遇突然断电，应关闭电源，尤其要关闭加热电器的电源开关。,C、电源或电器设备的保险丝烧断后，可以用其它金属导线代替。,D、电源开关附近不得存放易燃易爆物品或堆放杂物。
1015 、当有汞（水银）溅失时，应如何处理现场?,D,A、用水擦,B、用拖把拖,C、扫干净后倒入垃圾桶,D、收集水银，用硫磺粉盖上并统一处理
1016 、加热和蒸馏有易燃试剂的实验时，不能用（ ）。,B,A、水浴锅,B、明火,C、通风橱
1017 、自耦电源变压器的输出端指示电压为零时，表示,C,A、是安全的,B、不带电,C、未必是安全的（如果输入端火线和零线未按要求接，变压器付边会有高压）
1018 、N2、F2、O2、H2、CO2、N2O、Cl2、C2H2、Ar、CO、He几种气体中，助燃气体是 ( )。,C,A、H2、CO、C2H2,B、N2、Ar、He、CO2,C、O2、N2O,D、H2、N2、F2、C2H2,E、F2、Cl2、CO、C2H2
1019 、有人触电时，使触电人员脱离电源的错误方法是：,B,A、借助工具使触电者脱离电源,B、抓触电人的手,C、抓触电人的干燥外衣,D、切断电源
1020 、使用手锯锯工件快要锯断时，哪种做法是正确的,A,A、放慢锯削速度,B、加大锯削时的压力,C、锯削的速度可以加快,D、用榔头打断工件
1021 、化学危险药品对人身会有刺激眼睛、灼伤皮肤、损伤呼吸道、麻痹神经、燃烧爆炸等危险，一定要注意化学药品的使用安全，以下不正确的做法是：,C,A、了解所使用的危险化学药品的特性，不盲目操作，不违章使用,B、妥善保管身边的危险化学药品，做到：标签完整，密封保存；避热、避光、远离火种。,C、室内可存放大量危险化学药品,D、严防室内积聚高浓度易燃易爆气体
1022 、工作地点相对湿度大于75%时，则此工作环境属于（　）易触电的环境。,A,A、危险,B、特别危险,C、一般
1023 、节假日期间，仍然需要进入实验室工作的师生，要严格遵守实验室操作规程，做实验时必须要有人在场，并且在实验完成离开时负责（），锁好门窗，以防火灾和爆炸、溢水等事故。,B,A、关闭仪器设备,B、关闭水源、电源、气源,C、关闭计算机
1024 、下列实验操作中，说法正确的是,C,A、可以对容量瓶、量筒等容器加热,"B、在通风橱操作时, 可将头伸入通风柜内观察",C、非一次性防护手套脱下前必须冲洗干净，而一次性手套时须从后向前把里面翻出来脱下后再扔掉,D、可以抓住塑料瓶子或玻璃瓶子的盖子搬运瓶子
1025 、辐射源是指,C,A、放射源,B、放射性同位素,C、可以通过发射电离辐射或释放放射性物质而引起辐射照射的一切物质或实体
1026 、铝粉、保险粉自燃时应（　）扑救,D,A、用水灭火,B、用泡沫灭火器,C、用干粉灭火器,D、用干砂子灭火
1027 、以下药品中，可以与水直接接触的是,C,A、金属钠、钾,B、电石,C、白磷,D、金属氢化物
1028 、师生进入生化类实验室工作，一定要搞清楚（　）等位置，出现情况能做好相应的自救工作。,C,A、门窗的位置,B、易燃、易爆物品大位置,C、冲眼器、紧急喷淋、急救药箱的位置
1029 、实验室生物安全性问题不仅涉及到动物间疾病的传播，最主要还关系到什么？,C,A、实验成败,B、实验室污染,C、人民身体健康,D、动物死亡
1030 、在火灾初发阶段，应采取哪种方法撤离？,B,A、乘坐电梯。,B、用湿毛巾捂住口鼻低姿从安全通道撤离。,C、跳楼逃生。,D、跑到楼顶呼救。
1031 、下列物质无毒的是,C,A、乙二醇,B、硫化氢,C、乙醇,D、甲醛
1032 、设备运行中，发现试件装歪了，可以:,C,A、直接用手去调整,B、不停机，用工具调整,C、停机，重新安装后运行,D、不停机，直至加工完毕
1033 、实验室各种管理规章制度应该：,A,A、上墙或便于取阅的地方,B、存放在档案柜中,C、由相关人员集中保管,D、保存在计算机内
1034 、起重设备应有专人负责，须对起重设备做经常性检查，确保其( )。大型起重设备应按规定接受技术安检部门的定期检查，获得使用许可证方可使用。,C,A、操作培训,B、持证操作,C、正常技术状态
